ID,ScheduleName,Time
12250666,PAYMENT_RECONCILIATION,09:00:00
12250667,SCD_WEEKDAY_1045pm,22:45:00
12250668,SCD_WEEKDAY_330am,03:30:00
12250669,SCD_WEEKDAY_1030pm,22:30:00
12250671,AS_24D_CA_CR_SDTR,05:00:00
12250673,SCD_WEEKDAY_330pm,15:30:00
12250674,SCD_WEEKDAY_11pm,23:00:00
13502919,SCD_DAILY_1am,01:00:00
14123525,BroadRidge_SWIFT,00:00:00
14320793,SWIFT_Schedule,00:00:00
14626092,SCD_EOM_1140pm,23:40:00
14655379,SCD_WEEKDAY_6am,06:00:00
14656728,SCD_SATURDAY_6pm,18:00:00
14659128,SCD_EOM_10pm,22:00:00
14680585,SCD_WEEKDAY_4pm,16:00:00
14680619,SCD_WEEKDAY_3pm,15:00:00
14844272,SCD_DAILY_7am,07:00:00
14997654,SCD_DAILY_6am,06:00:00
15171650,SCD_WEEKDAY_9pm,21:00:00
15678606,SCD_WEEKDAY_1130pm,23:30:00
15678686,SCD_WEEKDAY_1145pm,23:45:00
15678730,SCD_WEEKDAY_10pm,22:00:00
16335646,SCD_WEEKDAY_7pm,19:00:00
17024013,SCD_WEEKDAY_8pm,20:00:00
17024043,SCD_WEEKDAY_8am,08:00:00
17068484,SCD_WEEKDAY_5am,05:00:00
17068488,SCD_WEEKDAY_12pm,12:00:00
17220456,SCD_WEEKDAY_10am,10:00:00
17835859,SCD_EOM_6pm,18:00:00
17835860,SCD_EOM_615pm,18:15:00
17835861,SCD_EOM_630pm,18:30:00
17835887,SCD_EOM_1145pm,23:45:00
17865503,SCD_WEEKDAY_7am,07:00:00
18155782,SCD_EOM_3:30am,03:30:00
18491256,SCD_WEEKDAY_6pm,18:00:00
18720798,SCD_SUNDAY_5am,05:00:00
18720850,SCD_SUNDAY_1pm,13:00:00
18720907,SCD_SATURDAY_6am,06:00:00
18734477,SCD_EOM_7pm,19:00:00
19697483,SCD_WEEKDAY_1am,01:00:00
21338383,SCD_WEEKDAY_530pm,17:30:00
22500596,SCD_WEEKDAY_EVERY_15m,
24981122,SCD_DAILY_5am,05:00:00
25562696,SCD_WEEKDAY_9am,09:00:00
26727095,SCD_WEEKDAY_1035pm,22:35:00
27047689,SCD_WEEKDAY_EVERY_HR_6AM_5PM,06:00:00
32447604,SCD_WEEKDAY_830pm,20:30:00
32447810,SCD_WEEKDAY_845pm,20:45:00
32447886,SCD_WEEKDAY_930pm,21:30:00
37295866,SCD_FIRST_SUNDAY_OF_MONTH_11am,11:00:00
38530264,SCD_FIRST_SUNDAY_OF_MONTH_1pm,13:00:00
44203504,SCD_WEEKDAY_5pm,17:00:00
49219631,SCD_WEEKDAY_230pm,14:30:00
53339057,SCD_EOM_5pm,17:00:00
54631310,SCD_SATURDAY_9pm,21:00:00
61181380,SCD_WEEKDAY_1230pm,12:30:00
61219598,SCD_WEEKDAY_EVERY_30m_Between_6am_1130am,06:30:00
61219599,SCD_WEEKDAY_EVERY_15m_Between_1130am_1pm,11:30:00
64836243,SCD_SUNDAY_6pm,18:00:00
16633381,Check_SCD_EOD_PROCESSING,23:00:00
16778580,Check_SCD_SOD,07:00:00
17176302,Check_SCD_DWH_LOAD,02:45:00
17357500,Check_FILE_AGE,06:00:00
17537150,Check_SYSTEM_DATE,04:00:00
